from_unixtime(date_ts),num_tasks,procs_per_node,file_per_proc,segment,block_size,transfer_size,aggregate_size,write_data_rate_max,write_data_rate_mean,write_data_rate_min,write_open_time,write_wrrd_time,write_close_time,read_data_rate_max,read_data_rate_mean,read_data_rate_min,read_open_time,read_wrrd_time,read_close_time,command_line
2015-10-06 21:27:42,3024,1,1,NULL,1073741824,67108864,2147483647,66527.9,66527.9,66527.9,0.130458,46.4,0.01343,259015,259015,259015,0.02207,11.91,0.025204,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_1_1444179908.0.out -s 1 -r -t 64m -w
2015-10-06 21:29:34,3240,1,1,NULL,1073741824,67108864,2147483647,69339.2,69339.2,69339.2,0.151297,47.68,0.013218,268717,268717,268717,0.022034,12.3,0.024982,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_1_1444179908.0.out -s 1 -r -t 64m -w
2015-10-06 21:31:13,3456,1,1,NULL,1073741824,67108864,2147483647,72907,72907,72907,0.132815,48.39,0.014411,277540,277540,277540,0.023074,12.7,0.028124,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_1_1444179908.0.out -s 1 -r -t 64m -w
2015-10-06 21:33:05,216,1,1,NULL,1073741824,67108864,2147483647,10297.9,10297.9,10297.9,0.029362,21.45,0.001283,26706.5,26706.5,26706.5,0.001641,8.28,0.001286,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_2_1444179937.0.out -s 1 -r -t 64m -w
2015-10-06 21:33:48,432,1,1,NULL,1073741824,67108864,2147483647,18050.5,18050.5,18050.5,0.046936,24.46,0.002183,49126.5,49126.5,49126.5,0.003072,9,0.003727,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_2_1444179937.0.out -s 1 -r -t 64m -w
2015-10-06 21:34:34,648,1,1,NULL,1073741824,67108864,2147483647,23723,23723,23723,0.048842,27.92,0.00301,69229.5,69229.5,69229.5,0.004435,9.58,0.005363,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_2_1444179937.0.out -s 1 -r -t 64m -w
2015-10-06 21:35:24,864,1,1,NULL,1073741824,67108864,2147483647,28126.3,28126.3,28126.3,0.065592,31.39,0.003939,92916,92916,92916,0.006138,9.51,0.006643,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_2_1444179937.0.out -s 1 -r -t 64m -w
2015-10-06 21:36:17,1080,1,1,NULL,1073741824,67108864,2147483647,32424.5,32424.5,32424.5,0.080134,34.02,0.004525,111991,111991,111991,0.007467,9.86,0.008465,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_2_1444179937.0.out -s 1 -r -t 64m -w
2015-10-06 21:37:15,1296,1,1,NULL,1073741824,67108864,2147483647,35032.6,35032.6,35032.6,0.111933,37.76,0.005497,136369,136369,136369,0.008839,9.71,0.010024,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_2_1444179937.0.out -s 1 -r -t 64m -w
2015-10-06 21:38:22,1512,1,1,NULL,1073741824,67108864,2147483647,36728.2,36728.2,36728.2,0.079694,42.07,0.00628,154703,154703,154703,0.010231,9.99,0.012902,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_2_1444179937.0.out -s 1 -r -t 64m -w
2015-10-06 21:39:35,1728,1,1,NULL,1073741824,67108864,2147483647,33777.9,33777.9,33777.9,0.084375,52.29,0.007169,174785,174785,174785,0.011582,10.1,0.013075,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_2_1444179937.0.out -s 1 -r -t 64m -w
2015-10-06 21:41:10,1944,1,1,NULL,1073741824,67108864,2147483647,39059,39059,39059,0.10726,50.85,0.007726,192037,192037,192037,0.01267,10.34,0.015145,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_2_1444179937.0.out -s 1 -r -t 64m -w
2015-10-06 21:42:43,2160,1,1,NULL,1073741824,67108864,2147483647,39517.6,39517.6,39517.6,0.105092,55.86,0.009058,211328,211328,211328,0.014145,10.43,0.017255,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_2_1444179937.0.out -s 1 -r -t 64m -w
2015-10-06 21:44:21,2376,1,1,NULL,1073741824,67108864,2147483647,41728.1,41728.1,41728.1,0.099617,58.2,0.009525,221285,221285,221285,0.015621,10.96,0.018643,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_2_1444179937.0.out -s 1 -r -t 64m -w
2015-10-06 21:46:06,2592,1,1,NULL,1073741824,67108864,2147483647,54581.3,54581.3,54581.3,0.117706,48.5,0.011182,240165,240165,240165,0.018063,11.01,0.022123,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_2_1444179937.0.out -s 1 -r -t 64m -w
2015-10-06 21:47:56,2808,1,1,NULL,1073741824,67108864,2147483647,62373.6,62373.6,62373.6,0.1312,45.96,0.011556,252236,252236,252236,0.018645,11.36,0.022204,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_2_1444179937.0.out -s 1 -r -t 64m -w
2015-10-06 21:49:29,3024,1,1,NULL,1073741824,67108864,2147483647,66755.9,66755.9,66755.9,0.125594,46.25,0.012536,257372,257372,257372,0.019955,11.99,0.023314,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_2_1444179937.0.out -s 1 -r -t 64m -w
2015-10-06 21:51:19,3240,1,1,NULL,1073741824,67108864,2147483647,70397.9,70397.9,70397.9,0.133847,46.98,0.013539,269273,269273,269273,0.021432,12.28,0.024806,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_2_1444179937.0.out -s 1 -r -t 64m -w
2015-10-06 21:53:13,3456,1,1,NULL,1073741824,67108864,2147483647,71795.7,71795.7,71795.7,0.137384,49.14,0.016406,275022,275022,275022,0.023648,12.82,0.028424,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch1/users/atorrez/nn/ior_MPIIO_2_1444179937.0.out -s 1 -r -t 64m -w
2015-10-07 16:55:20,216,1,1,NULL,1073741824,67108864,2147483647,7084.53,7084.53,7084.53,0.035273,31.18,0.001477,14976.9,14976.9,14976.9,0.001764,14.77,0.001368,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_1_1444248473.0.out -s 1 -r -t 64m -w
2015-10-07 16:56:19,432,1,1,NULL,1073741824,67108864,2147483647,17342.1,17342.1,17342.1,0.040629,25.47,0.002203,31785,31785,31785,0.003022,13.91,0.003477,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_1_1444248473.0.out -s 1 -r -t 64m -w
2015-10-07 16:57:11,648,1,1,NULL,1073741824,67108864,2147483647,25648.2,25648.2,25648.2,0.058575,25.81,0.003219,53706.2,53706.2,53706.2,0.004567,12.35,0.005209,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_1_1444248473.0.out -s 1 -r -t 64m -w
2015-10-07 16:58:02,864,1,1,NULL,1073741824,67108864,2147483647,35705.6,35705.6,35705.6,0.063171,24.71,0.004315,72513.7,72513.7,72513.7,0.005857,12.19,0.007056,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_1_1444248473.0.out -s 1 -r -t 64m -w
2015-10-07 16:58:52,1080,1,1,NULL,1073741824,67108864,2147483647,44762.9,44762.9,44762.9,0.065812,24.64,0.005314,86920.1,86920.1,86920.1,0.007456,12.71,0.008863,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_1_1444248473.0.out -s 1 -r -t 64m -w
2015-10-07 16:59:47,1296,1,1,NULL,1073741824,67108864,2147483647,42067.8,42067.8,42067.8,0.0664,31.47,0.006202,83578.3,83578.3,83578.3,0.008991,15.86,0.011503,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_1_1444248473.0.out -s 1 -r -t 64m -w
2015-10-07 17:00:53,1512,1,1,NULL,1073741824,67108864,2147483647,53597.1,53597.1,53597.1,0.067807,28.81,0.007884,96892.5,96892.5,96892.5,0.010541,15.96,0.012797,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_1_1444248473.0.out -s 1 -r -t 64m -w
2015-10-07 17:01:59,1728,1,1,NULL,1073741824,67108864,2147483647,41435.6,41435.6,41435.6,0.088781,42.61,0.007718,108717,108717,108717,0.011594,16.25,0.014433,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_1_1444248473.0.out -s 1 -r -t 64m -w
2015-10-07 17:03:29,1944,1,1,NULL,1073741824,67108864,2147483647,44777.2,44777.2,44777.2,0.087075,44.36,0.008766,113450,113450,113450,0.013029,17.52,0.0165,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_1_1444248473.0.out -s 1 -r -t 64m -w
2015-10-07 17:05:03,2160,1,1,NULL,1073741824,67108864,2147483647,41659.3,41659.3,41659.3,0.108316,52.98,0.011047,133114,133114,133114,0.015894,16.58,0.020389,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_1_1444248473.0.out -s 1 -r -t 64m -w
2015-10-07 17:06:45,2376,1,1,NULL,1073741824,67108864,2147483647,56341.8,56341.8,56341.8,0.110639,43.06,0.011521,144559,144559,144559,0.016664,16.8,0.02003,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_1_1444248473.0.out -s 1 -r -t 64m -w
2015-10-07 17:08:24,2592,1,1,NULL,1073741824,67108864,2147483647,66635.2,66635.2,66635.2,0.127712,39.69,0.012565,167376,167376,167376,0.018292,15.82,0.021769,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_1_1444248473.0.out -s 1 -r -t 64m -w
2015-10-07 17:10:14,2808,1,1,NULL,1073741824,67108864,2147483647,51429.2,51429.2,51429.2,0.127639,55.77,0.013579,137253,137253,137253,0.020363,20.91,0.024178,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_1_1444248473.0.out -s 1 -r -t 64m -w
2015-10-07 17:12:10,3024,1,1,NULL,1073741824,67108864,2147483647,86806,86806,86806,0.154157,35.51,0.013141,185721,185721,185721,0.020472,16.63,0.024501,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_1_1444248473.0.out -s 1 -r -t 64m -w
2015-10-07 17:13:56,3240,1,1,NULL,1073741824,67108864,2147483647,78813,78813,78813,0.134759,41.95,0.013956,169593,169593,169593,0.022085,19.52,0.026194,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_1_1444248473.0.out -s 1 -r -t 64m -w
2015-10-07 17:15:48,3456,1,1,NULL,1073741824,67108864,2147483647,69993.3,69993.3,69993.3,0.148856,50.4,0.016131,179995,179995,179995,0.024147,19.61,0.029874,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_1_1444248473.0.out -s 1 -r -t 64m -w
2015-10-07 17:17:29,216,2,1,NULL,1073741824,67108864,2147483647,6749.31,6749.31,6749.31,0.031562,32.74,0.001347,16777.5,16777.5,16777.5,0.001603,13.18,0.001897,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_2_1444248525.0.out -s 1 -r -t 64m -w
2015-10-07 17:18:35,432,2,1,NULL,1073741824,67108864,2147483647,12682.6,12682.6,12682.6,0.042831,34.83,0.002656,35392.7,35392.7,35392.7,0.002975,12.49,0.003522,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_2_1444248525.0.out -s 1 -r -t 64m -w
